name	start	end	OEMBY1	OEMBY2	OEMBY3	OEMSY1	OEMSY2	OEMSY3	dOEM1	dOEM2	dOEM3	OEMm_BY	OEMm_SY	d_OEMm	dt_signif_RFD	dt_CEN	dt_JUNC	dt_TEL	dInit_SY_BY	dInitSY_BY_padj	dRT_SY_BY	dRT_SY_BY_padj	rif1_Hafner	rif1RBM	fkh1fkh2_Knott	ctf19_Natsume
ARS1604	50640	50875	0.1874029395186295	0.13088983309976124	0.10474532097578049	0.10237274113726819	0.07353207762589899	0.09586250068525136	-0.0850301983813613	-0.05735775547386225	-0.008882820290529128	0.14101269786472373	0.09058910648280617	-0.050423591381917564	21639	512852	898086	43391	-0.1634389251995405	0.9118833769114784	-0.018427420502918235	0.9082046491564587	null	act	null	null
ARS1605	80702	80946	0.6344420853926211	0.8016385136818399	0.8872999998987937	0.6294801320348468	0.7920663495453036	0.8373826754336454	-0.004961953357774385	-0.009572164136536276	-0.049917324465148294	0.7744601996577516	0.7529763856712652	-0.021483813986486317	51701	482785	868019	73458	-0.24775509997513234	0.6483741390446104	3.7229844762087794e-4	0.5852967546990265	null	null	null	null
Likely_chrXVI_2	97421	100637	0.09012781476725286	0.04261561853820988	-0.02642512507736683	0.08635477845365674	-0.014831849202024109	-0.003989180968858699	-0.003773036313596115	-0.05744746774023399	0.02243594410850813	0.03543943607603197	0.022511249427591314	-0.012928186648440657	68420	464580	849814	91663	-0.7504846785877488	0.7121390754819379	-0.03162330310104089	0.9940125385903733	NA	null	null	null
ARS1607	124168	124427	0.29107902244879647	0.4382074773311615	0.23434080722240302	0.1845218959909219	0.12808885620190547	0.014992625316461691	-0.10655712645787457	-0.31011862112925603	-0.21934818190594133	0.3212091023341203	0.10920112583642969	-0.21200797649769065	95167	439312	824546	116931	-1.679904911252359	0.11809465240937098	-0.035767291931614764	0.7807979379727477	null	null	rep	null
Likely_chrXVI_3	169348	171101	0.8923015202328716	0.8055272319161906	0.7171384339117813	0.6473640219787371	0.4718265067722262	0.7647058525746062	-0.24493749825413447	-0.33370072514396437	0.04756741866282488	0.8049890620202812	0.6279654604418565	-0.17702360157842464	140347	393385	778619	162858	-0.4663573769321854	0.4186874151500743	-0.014368750293948906	0.9436653178257379	null	null	rep	null
Likely_chrXVI_5	197618	199111	-0.19344586749352924	-0.046785698430625154	-0.10707711719644755	0.10165585870723648	0.2021824994499744	-0.06277953572521408	0.2951017262007657	0.24896819788059957	0.04429758147123347	-0.11576956104020066	0.0803529408106656	0.19612250185086624	168617	365245	750479	190998	0.3400139407993743	0.7240510749919908	-0.013482442582152254	0.9436653178257379	NA	NA	NA	null
ARS1609	218121	219376	0.5385195068113363	0.38358112716466	0.31637905784852943	0.4315458936201539	0.32731379260113286	0.29864721460517046	-0.10697361319118243	-0.056267334563527116	-0.01773184324335897	0.4128265639415086	0.35250230027548574	-0.06032426366602284	189120	344861	730095	211382	-0.5631930853093436	0.33861459335559685	-0.03810069065823196	0.7567932834121099	null	null	null	null
Likely_chrXVI_9	257898	258607	0.04572199806571007	0.008897959254682064	-0.0021871591237868416	0.1548262074379854	0.03799935394084789	0.04691705187441598	0.10910420937227533	0.029101394686165828	0.04910421099820282	0.01747759939886843	0.07991420441774975	0.062436605018881326	228897	305357	690591	250886	-0.7025777214098556	0.6781116490557856	0.11341317717810506	0.012915229182647543	NA	NA	NA	null
Likely_chrXVI_10	268821	270339	0.08379750301505956	0.19394413253796422	0.11348197188343634	-0.05456989197216197	0.0708554027954005	0.0847097053177228	-0.13836739498722153	-0.12308872974256373	-0.028772266565713536	0.13040786914548672	0.03366507204698711	-0.0967427970984996	239820	294029	679263	262214	-0.7112405482420601	0.5534655217274478	-0.00682515534953354	0.8027884269903703	null	null	rep	null
ARS1614	297136	297356	0.8575988045105567	0.8342632322289825	0.6945000002287093	0.6260301697308122	0.940739752210643	0.7314499999602996	-0.23156863477974454	0.10647651998166052	0.0369499997315903	0.7954540123227495	0.7660733073005849	-0.02938070502216457	233644	266363	651597	289880	0.09212240479552758	0.8533512385061859	0.12689710902966334	0.0931456966622659	null	null	act	null
